,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,screen_count,followers_count,friends_count,possibly_sensitive,user_mentions,place,place_coord_boundaries
10,2021-06-18 17:56:52,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","I’m pleased to welcome the #WeCanDoThis bus to Atlanta today! Remember, there are 3 easy ways to find a #COVID19 vaccine near you:  
🔍 Search https://t.co/d2PDWIps8o  
📱Text your ZIP code to 438829  
📞 Call 1-800-232-0233 https://t.co/AMmcMmCtiP","I’m pleased to welcome the WeCanDoThis bus to Atlanta today! Remember, there are 3 easy ways to find a COVID19 vaccine near you:  
🔍 Search   
📱Text your ZIP code to 438829  
📞 Call 1-800-232-0233 ","Sentiment(polarity=0.5083333333333333, subjectivity=0.7833333333333333)",0.5083333333333333,0.7833333333333333,en,685,221,Jmilio54,1,15,43,,['CDCDirector'],,
11,2021-06-18 17:56:54,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",BioCubaFarma says phase 3 clinical trial results for #Cuban #COVID19 #vaccines are due out in a few days. Soberana02 (with and without booster) and Abdala were tested in 85K+ volunteers in Havana and eastern Cuba. @BioCubaFarma @FinlayInstituto @cda_dc @WOLA_org @aperezriverol https://t.co/GkrwLdJX1M,BioCubaFarma says phase 3 clinical trial results for Cuban COVID19 vaccines are due out in a few days. Soberana02 (with and without booster) and Abdala were tested in 85K+ volunteers in Havana and eastern Cuba. ioCubaFarma inlayInstituto da_dc OLA_org perezriverol ,"Sentiment(polarity=-0.1625, subjectivity=0.2375)",-0.1625,0.2375,en,52,28,LilyWad75051099,1,474,361,,['MediccGail'],,
12,2021-06-18 17:56:58,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",THIS FIRST AID AGENT  NOTICED THAT MOST OF THE AGED PEOPLE HE TOOK CARE OF WERE VICTIMS OF STROKE AND LATER PASSED… https://t.co/iol4J5FQXo,THIS FIRST AID AGENT  NOTICED THAT MOST OF THE AGED PEOPLE HE TOOK CARE OF WERE VICTIMS OF STROKE AND LATER PASSED… ,"Sentiment(polarity=0.1625, subjectivity=0.30833333333333335)",0.1625,0.30833333333333335,en,0,0,SammyEyong,0,14,80,False,[],,
13,2021-06-18 17:57:06,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","It is really something to see new research coming out about damage to the brain, heart, and more from #Covid19. And then watch our government reopen everything and just let Covid and #DeltaVariant spread wildly throughout our country.

Vaccines are great but we need to do more https://t.co/o8vX9TkY0Q","It is really something to see new research coming out about damage to the brain, heart, and more from Covid19. And then watch our government reopen everything and just let Covid and DeltaVariant spread wildly throughout our country.

Vaccines are great but we need to do more ","Sentiment(polarity=0.37272727272727274, subjectivity=0.46742424242424246)",0.37272727272727274,0.46742424242424246,en,4,2,trekkerteach12,1,7778,5990,,['LongCovidNYC'],,
14,2021-06-18 17:57:12,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @YakiLopez: I guess this is what ethnic cleansing and apartheid look like…🤦🏻‍♂️ https://t.co/3eRJjOZF8W,akiLopez: I guess this is what ethnic cleansing and apartheid look like…🤦🏻‍♂️ ,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,22,6,emet_news_press,1,9765,7035,False,['YakiLopez'],Global,
15,2021-06-18 17:57:16,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Look how pathetically disrespectful the US is with the Pfizer distribution. Mere 400-480 while the others have hund… https://t.co/1KD2TVM0ak,Look how pathetically disrespectful the US is with the Pfizer distribution. Mere 400-480 while the others have hund… ,"Sentiment(polarity=-0.5, subjectivity=0.5)",-0.5,0.5,en,0,0,edjimimi,0,371,605,,[],"Austin, TX",
16,2021-06-18 17:57:18,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","It is really something to see new research coming out about damage to the brain, heart, and more from #Covid19. And then watch our government reopen everything and just let Covid and #DeltaVariant spread wildly throughout our country.

Vaccines are great but we need to do more https://t.co/o8vX9TkY0Q","It is really something to see new research coming out about damage to the brain, heart, and more from Covid19. And then watch our government reopen everything and just let Covid and DeltaVariant spread wildly throughout our country.

Vaccines are great but we need to do more ","Sentiment(polarity=0.37272727272727274, subjectivity=0.46742424242424246)",0.37272727272727274,0.46742424242424246,en,5,3,SheriD17536431,1,470,1240,,['LongCovidNYC'],Nashville,
17,2021-06-18 17:57:19,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Africa is in the midst of a full blown third wave. The sobering trajectory of surging cases should rouse everyone into urgent action. 

We’ve seen in India and elsewhere just how quickly #COVID19 can rebound and overwhelm health systems.","Africa is in the midst of a full blown third wave. The sobering trajectory of surging cases should rouse everyone into urgent action. 

We’ve seen in India and elsewhere just how quickly COVID19 can rebound and overwhelm health systems.","Sentiment(polarity=0.1958333333333333, subjectivity=0.2875)",0.1958333333333333,0.2875,en,67,77,DuncanSteele8,1,48,74,,['MoetiTshidi'],,
18,2021-06-18 17:57:20,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@DrTedros ""Less than 2% of Africa’s population has been vaccinated.

Vaccines donated next year will be far too late for those who are dying today, or being infected today, or at risk today""-@DrTedros #COVID19 #VaccinEquity","rTedros ""Less than 2% of Africa’s population has been vaccinated.

Vaccines donated next year will be far too late for those who are dying today, or being infected today, or at risk today""-rTedros COVID19 VaccinEquity","Sentiment(polarity=-0.09166666666666666, subjectivity=0.41666666666666663)",-0.09166666666666666,0.41666666666666663,en,55,32,ChrisRamsden4,2,678,570,,"['WHO', 'DrTedros']",Kent,
19,2021-06-18 17:57:22,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","So glad to join training day for the DC #COVID19 Community Corps

They will be going door to door and attending events to encourage residents to #TakeTheShotDC 

Together, we’ll crush the virus! https://t.co/Q3MPcnZFJL https://t.co/NibVFurhtd","So glad to join training day for the DC COVID19 Community Corps

They will be going door to door and attending events to encourage residents to TakeTheShotDC 

Together, we’ll crush the virus!  ","Sentiment(polarity=0.625, subjectivity=1.0)",0.625,1.0,en,6,3,stevenlwalker,1,5769,1848,,['falcicchio'],Bending stuff towards justice,
20,2021-06-18 17:57:24,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Dr Moeti is head of WHO in Africa, and one of the best public health experts and leaders I know. Hers is a desperate request for vaccines to Africa. We plead with Germany and the UK to lift patent restrictions and urgently transfer technology to enable production in Africa.","Dr Moeti is head of WHO in Africa, and one of the best public health experts and leaders I know. Hers is a desperate request for vaccines to Africa. We plead with Germany and the UK to lift patent restrictions and urgently transfer technology to enable production in Africa.","Sentiment(polarity=0.13333333333333333, subjectivity=0.45555555555555555)",0.13333333333333333,0.45555555555555555,en,203,95,yuccaldo,1,1309,2618,,['globalhlthtwit'],"#mRNA/@pfizer 1.shot, 23.04",
21,2021-06-18 17:57:30,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","[MB] ☀️ WINNIPEG ☀️ 
Available mRNA vaccines!
📍 Scurfield Pharmacy (100 201 Scurfield Blvd)
📞 204-306-4459
💻 https://t.co/cDMOKVMUTW
Call to confirm availability/book appointment! 
#protectmb
https://t.co/7OYAVc9tK1 #VHCDose2 #COVID19MB #vhcMB","[MB] ☀️ WINNIPEG ☀️ 
Available mRNA vaccines!
📍 Scurfield Pharmacy (100 201 Scurfield Blvd)
📞 204-306-4459
💻 
Call to confirm availability/book appointment! 
protectmb
 VHCDose2 COVID19MB vhcMB","Sentiment(polarity=0.625, subjectivity=0.4)",0.625,0.4,en,5,2,LeahMochula,1,84,592,,['VaxHuntersCan'],,
22,2021-06-18 17:57:31,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@robinmonotti2 @RiseOfTheProles BTW🤔🤔Covid19 deaths are super inflated by a rigged PCR test! Using a survival rate of the Covid19 virus of 99.97% the death by vaccines comparison is infinitely higher -try ~1 million times more likely to die by the Covid19 shot than the “actual” virus!! 😳😳😳😳😳😳😳😳😳😳😳 https://t.co/oocr6CtzQZ,obinmonotti2 iseOfTheProles BTW🤔🤔Covid19 deaths are super inflated by a rigged PCR test! Using a survival rate of the Covid19 virus of 99.97% the death by vaccines comparison is infinitely higher -try ~1 million times more likely to die by the Covid19 shot than the “actual” virus!! 😳😳😳😳😳😳😳😳😳😳😳 ,"Sentiment(polarity=0.2333333333333333, subjectivity=0.5533333333333333)",0.2333333333333333,0.5533333333333333,en,3,3,siborg76,3,558,1684,,"['GebauerKen', 'robinmonotti2', 'RiseOfTheProles']","England, United Kingdom",
23,2021-06-18 17:57:31,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Dr Moeti is head of WHO in Africa, and one of the best public health experts and leaders I know. Hers is a desperate request for vaccines to Africa. We plead with Germany and the UK to lift patent restrictions and urgently transfer technology to enable production in Africa. https://t.co/sOgIroihOc","Dr Moeti is head of WHO in Africa, and one of the best public health experts and leaders I know. Hers is a desperate request for vaccines to Africa. We plead with Germany and the UK to lift patent restrictions and urgently transfer technology to enable production in Africa. ","Sentiment(polarity=0.13333333333333333, subjectivity=0.45555555555555555)",0.13333333333333333,0.45555555555555555,en,203,96,DrRobinFawcett,1,85,110,,['globalhlthtwit'],London,
24,2021-06-18 17:57:40,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","That's great. But there are now *zero* appointments available within a 6 hour driving radius of Winnipeg for anyone who can only get Pfizer for shot 2. 

Save Pfizer for our kids. They don't have a choice between vaccines.

@KindrachukJason @SouradetS #mbpoli","That's great. But there are now *zero* appointments available within a 6 hour driving radius of Winnipeg for anyone who can only get Pfizer for shot 2. 

Save Pfizer for our kids. They don't have a choice between vaccines.

indrachukJason ouradetS mbpoli","Sentiment(polarity=0.4000000000000001, subjectivity=0.7166666666666667)",0.4000000000000001,0.7166666666666667,en,29,5,signpostpoetry,1,850,1827,,['JillianHortonMD'],Treaty One,
25,2021-06-18 17:57:40,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","A free 6/23 webinar will review the state of #COVID19 in Brazil, India, and South Africa and explore what lessons w… https://t.co/a1SfPNXsJ6","A free 6/23 webinar will review the state of COVID19 in Brazil, India, and South Africa and explore what lessons w… ","Sentiment(polarity=0.4, subjectivity=0.8)",0.4,0.8,en,0,0,sharon_inouye,0,6100,1556,False,[],United States,
26,2021-06-18 17:57:42,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",BioCubaFarma says phase 3 clinical trial results for #Cuban #COVID19 #vaccines are due out in a few days. Soberana02 (with and without booster) and Abdala were tested in 85K+ volunteers in Havana and eastern Cuba. @BioCubaFarma @FinlayInstituto @cda_dc @WOLA_org @aperezriverol https://t.co/GkrwLdJX1M,BioCubaFarma says phase 3 clinical trial results for Cuban COVID19 vaccines are due out in a few days. Soberana02 (with and without booster) and Abdala were tested in 85K+ volunteers in Havana and eastern Cuba. ioCubaFarma inlayInstituto da_dc OLA_org perezriverol ,"Sentiment(polarity=-0.1625, subjectivity=0.2375)",-0.1625,0.2375,en,54,29,laureiropedro1,1,45,258,,['MediccGail'],,
27,2021-06-18 17:57:43,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Africa is in the midst of a full blown third wave. The sobering trajectory of surging cases should rouse everyone into urgent action. 

We’ve seen in India and elsewhere just how quickly #COVID19 can rebound and overwhelm health systems.","Africa is in the midst of a full blown third wave. The sobering trajectory of surging cases should rouse everyone into urgent action. 

We’ve seen in India and elsewhere just how quickly COVID19 can rebound and overwhelm health systems.","Sentiment(polarity=0.1958333333333333, subjectivity=0.2875)",0.1958333333333333,0.2875,en,68,78,yuccaldo,1,1309,2618,,['MoetiTshidi'],"#mRNA/@pfizer 1.shot, 23.04",
28,2021-06-18 17:57:48,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","🚨Africa is ""in the midst of a full-blown third wave"" of coronavirus, the head of @WHOAFRO has warned

Cases have risen across the continent by more than 20% and deaths have also risen by 15% in the last week

@jriggers reports ~ 🧵
https://t.co/CRDhqPHFWM","🚨Africa is ""in the midst of a full-blown third wave"" of coronavirus, the head of HOAFRO has warned

Cases have risen across the continent by more than 20% and deaths have also risen by 15% in the last week

riggers reports ~ 🧵
","Sentiment(polarity=0.16666666666666666, subjectivity=0.18888888888888888)",0.16666666666666666,0.18888888888888888,en,548,614,Sportsmk,2,755,646,,"['TelGlobalHealth', 'WHOAFRO']",texas,
29,2021-06-18 17:57:48,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","It is really something to see new research coming out about damage to the brain, heart, and more from #Covid19. And then watch our government reopen everything and just let Covid and #DeltaVariant spread wildly throughout our country.

Vaccines are great but we need to do more https://t.co/o8vX9TkY0Q","It is really something to see new research coming out about damage to the brain, heart, and more from Covid19. And then watch our government reopen everything and just let Covid and DeltaVariant spread wildly throughout our country.

Vaccines are great but we need to do more ","Sentiment(polarity=0.37272727272727274, subjectivity=0.46742424242424246)",0.37272727272727274,0.46742424242424246,en,6,4,RGC_BPPA,1,2689,5003,,['LongCovidNYC'],"Lafayette, Louisiana",
30,2021-06-18 17:57:55,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","We are dying! Ugandans need the world to stand with them. We need oxygen, PPEs, #COVID19 vaccines and money to pay our over-stretched health workers.
World, we need each other! 

Oxygen failure kills 30 Covid patients at Mulago  https://t.co/o1K0IUGf6Z via @DailyMonitor","We are dying! Ugandans need the world to stand with them. We need oxygen, PPEs, COVID19 vaccines and money to pay our over-stretched health workers.
World, we need each other! 

Oxygen failure kills 30 Covid patients at Mulago   via ailyMonitor","Sentiment(polarity=-0.23645833333333335, subjectivity=0.3375)",-0.23645833333333335,0.3375,en,855,485,saanchi_saxena,1,153,350,,['Winnie_Byanyima'],,
31,2021-06-18 17:57:59,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#ERNReCONNET meeting: #SLE and #COVID19 #vaccines 

""That's the reason why ERNs were developed...""

#patientsinvolvement #bestpractices for people living with #SystemicLupusErythematosus https://t.co/IJluIIioyn","ERNReCONNET meeting: SLE and COVID19 vaccines 

""That's the reason why ERNs were developed...""

patientsinvolvement bestpractices for people living with SystemicLupusErythematosus ","Sentiment(polarity=0.1, subjectivity=0.3)",0.1,0.3,en,6,4,NatxRP,1,70,305,,['ern_reconnet'],"Barcelona, Espanya",
32,2021-06-18 17:57:59,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","""Africa needs millions more doses here &amp; now to curb the third wave.""

In the midst of a third wave of #COVID19 cases in #Africa, Dr @MoetiTshidi calls out for much-needed COVID-19 vaccine doses during this critical time. https://t.co/KUDPXpqq22","""Africa needs millions more doses here &amp; now to curb the third wave.""

In the midst of a third wave of COVID19 cases in Africa, Dr oetiTshidi calls out for much-needed COVID-19 vaccine doses during this critical time. ","Sentiment(polarity=0.125, subjectivity=0.325)",0.125,0.325,en,62,48,yuccaldo,1,1309,2619,,['WHOAFRO'],"#mRNA/@pfizer 1.shot, 23.04",
33,2021-06-18 17:58:01,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","A new @EurobarometerEU survey shows 79% of Europeans intend to get vaccinated against #COVID19 this year. But people aged under 45 are more hesitant.

70% also believe the EU plays a key role in ensuring access to vaccines in their country. 🇪🇺

More info 👇 #StrongerTogether","A new urobarometerEU survey shows 79% of Europeans intend to get vaccinated against COVID19 this year. But people aged under 45 are more hesitant.

70% also believe the EU plays a key role in ensuring access to vaccines in their country. 🇪🇺

More info 👇 StrongerTogether","Sentiment(polarity=0.20727272727272728, subjectivity=0.5709090909090909)",0.20727272727272728,0.5709090909090909,en,102,50,CaleEuropaEdic,2,2228,2720,,"['EU_Commission', 'EurobarometerEU']",,
34,2021-06-18 17:58:02,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","We are dying! Ugandans need the world to stand with them. We need oxygen, PPEs, #COVID19 vaccines and money to pay our over-stretched health workers.
World, we need each other! 

Oxygen failure kills 30 Covid patients at Mulago  https://t.co/o1K0IUGf6Z via @DailyMonitor","We are dying! Ugandans need the world to stand with them. We need oxygen, PPEs, COVID19 vaccines and money to pay our over-stretched health workers.
World, we need each other! 

Oxygen failure kills 30 Covid patients at Mulago   via ailyMonitor","Sentiment(polarity=-0.23645833333333335, subjectivity=0.3375)",-0.23645833333333335,0.3375,en,855,486,chloekam09,1,478,441,,['Winnie_Byanyima'],,
35,2021-06-18 17:58:08,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Global Partnership is needed to achieve Global Elimination of Cervical Cancer Globally.
#COVID19 has shown that we… https://t.co/sqkhlN56Ld","Global Partnership is needed to achieve Global Elimination of Cervical Cancer Globally.
COVID19 has shown that we… ","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,runciecwc,0,6467,2529,,[],Nigeria,
36,2021-06-18 17:58:09,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","I’m pleased to welcome the #WeCanDoThis bus to Atlanta today! Remember, there are 3 easy ways to find a #COVID19 vaccine near you:  
🔍 Search https://t.co/d2PDWIps8o  
📱Text your ZIP code to 438829  
📞 Call 1-800-232-0233 https://t.co/AMmcMmCtiP","I’m pleased to welcome the WeCanDoThis bus to Atlanta today! Remember, there are 3 easy ways to find a COVID19 vaccine near you:  
🔍 Search   
📱Text your ZIP code to 438829  
📞 Call 1-800-232-0233 ","Sentiment(polarity=0.5083333333333333, subjectivity=0.7833333333333333)",0.5083333333333333,0.7833333333333333,en,687,222,Renee98929893,1,12,152,,['CDCDirector'],,
37,2021-06-18 17:58:15,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","The US government is lying to us by pretending #Covid19 is over. It is not over. People are still dying daily. Vaccines are fantastic but they are not the only thing we need to do to save lives.

Call your elected officials! https://t.co/muzgCGzd2B","The US government is lying to us by pretending Covid19 is over. It is not over. People are still dying daily. Vaccines are fantastic but they are not the only thing we need to do to save lives.

Call your elected officials! ","Sentiment(polarity=0.13333333333333333, subjectivity=0.6333333333333333)",0.13333333333333333,0.6333333333333333,en,0,1,corrigan_david,1,2898,5001,,['LongCovidNYC'],"Los Angeles, CA",
38,2021-06-18 17:58:28,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",IBP South Africa and partners wrote to the Gauteng government in October last year highlighting that residents in Emfuleni Informal settlement do not have basic services to combat COVID - 8 months later the problem continues! #COVID Inequality ~ share the story!,IBP South Africa and partners wrote to the Gauteng government in October last year highlighting that residents in Emfuleni Informal settlement do not have basic services to combat COVID - 8 months later the problem continues! COVID Inequality ~ share the story!,"Sentiment(polarity=0.0, subjectivity=0.06388888888888888)",0.0,0.06388888888888888,en,3,5,guyinthecorner1,1,249,375,,['wkrafchik'],South Africa,
39,2021-06-18 17:58:40,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","[MB] 🌸 WINNIPEG 🌸 
Available mRNA vaccines!
📍 Atlantic Medical Centre (1054 McPhillips Street)
📞: 204-505-1580
Call to confirm availability/book an appointment!

https://t.co/7OYAVc9tK1

#protectmb #VHCDose2 #COVID19MB #vhcMB","[MB] 🌸 WINNIPEG 🌸 
Available mRNA vaccines!
📍 Atlantic Medical Centre (1054 McPhillips Street)
📞: 204-505-1580
Call to confirm availability/book an appointment!



protectmb VHCDose2 COVID19MB vhcMB","Sentiment(polarity=0.25, subjectivity=0.2)",0.25,0.2,en,3,5,SandyBiback,1,910,575,,['VaxHuntersCan'],Canada,
40,2021-06-18 17:58:43,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","More than 10,000 new cases in South Africa's latest report. Positivity rate above 20%. The third wave continues.
 (And two-thirds of new cases are in Gauteng province.)","More than 10,000 new cases in South Africa's latest report. Positivity rate above 20%. The third wave continues.
 (And two-thirds of new cases are in Gauteng province.)","Sentiment(polarity=0.21212121212121207, subjectivity=0.40151515151515155)",0.21212121212121207,0.40151515151515155,en,7,6,FortuneThembo,1,214,855,,['geoffreyyork'],"Johannesburg, South Africa",
